date,close,high,low,open,volume,rsi_14,stoch_rsi,stoch_rsi_k,stoch_rsi_d,tsi,uo,roc,willr,sma_10,sma_50,ema_20,ema_100,macd,macd_signal,adx,cci,bb_high,bb_low,bb_width,atr,mfi,obv
2019-07-23,37982.73828125,38217.80859375,37898.8984375,38138.55859375,19300.0,34.17615887273415,0.0,0.0,0.14271052611428375,-15.767313369004407,34.80942735097876,-3.873756009137725,-95.6856165944837,38660.8109375,39159.39765625,38878.77808610355,38479.995095333994,-265.072527811928,-136.7135280359393,22.849603945103155,-151.06206385170407,40221.21918161644,37918.41167775856,2302.8075038578827,418.4079902961461,39.567323109383274,59055100.0
2019-07-24,37847.6484375,38102.83984375,37708.41015625,37990.23046875,16600.0,32.742730315744026,0.0,0.0,0.038241650515429895,-18.68428505455528,33.14523896507956,-2.2544137856311437,-94.00867980851979,38589.871875,39169.98,38780.575262427024,38467.47337933728,-312.34514005533856,-171.83985043981917,24.36718436095136,-151.8268650943197,40223.35460611109,37741.833284513916,2481.5213215971744,416.6952543821357,34.01067443111715,59038500.0
2019-07-25,37830.98046875,38169.87109375,37775.51171875,37935.01953125,18000.0,32.56126287912538,0.0,0.0,0.0,-21.100447590841746,28.562029522274546,-2.3233172870846355,-93.0671674768007,38490.658984375,39184.30203125,38690.137663029214,38454.86955932565,-347.1522367268917,-206.9023276972337,25.517718908402184,-131.92045511827496,40199.044681293286,37590.60024058172,2608.444440711566,415.0998344262689,41.69663382161002,59020500.0
2019-07-26,37882.7890625,37978.0703125,37690.46875,37831.1796875,24100.0,33.78958961068851,0.06879657318853268,0.022932191062844002,0.007644063687614815,-22.77585599925648,30.862634806605683,-1.7487079308840536,-87.93671639743121,38405.31484375,39194.088203125,38613.24732012167,38443.541232655836,-366.33372394276375,-238.7886069463397,26.727210228872703,-125.93940869347774,40173.11958625394,37465.34017937106,2707.7794068828807,405.992815002964,41.47524047655123,59044600.0
2019-07-29,37686.37109375,38043.21875,37519.16015625,38043.21875,21100.0,31.450754336441378,0.0,0.022932191062844002,0.015288127375229483,-24.897028367230714,31.468054186776957,-2.9279939179266212,-90.52935267906528,38284.280859375,39189.200234375,38524.97339380056,38428.54776455869,-392.8558812464471,-269.6020618063612,28.126436271773578,-123.49517665455721,40097.35786077904,37341.089014220954,2756.268846558087,414.4260849134666,41.20120986763765,59023500.0
2019-07-30,37397.23828125,37950.2109375,37359.03125,37735.5390625,22800.0,28.34095706016207,0.0,0.022932191062844002,0.022932191062844002,-27.701861279700328,30.614858050405825,-3.4566920200978672,-98.01593982705145,38110.90078125,39150.0915625,38417.57004974812,38408.125794592175,-432.2230849032203,-302.12626642573304,29.66858467170573,-129.518935196575,39994.492509968666,37202.03014628134,2792.4623636873293,427.05134224107616,40.13225069433643,59000700.0
2019-07-31,37481.12109375,37576.37109375,37128.26171875,37257.55078125,27200.0,30.48838537440541,0.0972797094422435,0.032426569814080944,0.026096983979923133,-29.440776688006487,35.33037346098854,-3.6393561553947262,-83.6371672439028,37937.448828125,39120.31796875,38328.38443489116,38389.769265862626,-451.44921002002957,-331.9908551445924,31.422038242493027,-131.82121236498978,39835.14035574733,37125.569409877666,2709.5709458696656,428.55548743814217,33.5091513542871,59027900.0
2019-08-01,37018.3203125,37387.1796875,36694.1796875,37387.1796875,21000.0,25.88027978476849,0.0,0.032426569814080944,0.02926177689700211,-32.485213871531705,37.19927214510068,-5.399086762366752,-87.48757880578606,37749.534765625,39078.48015625,38203.61642323486,38362.61186084554,-498.28627395747026,-365.249938907168,33.55214972519881,-151.95226206746486,39666.94995121653,37004.78598628347,2662.163964933061,454.1544816389892,28.374234993990314,59006900.0
2019-08-02,37118.21875,37375.16015625,36607.41015625,36920.109375,28100.0,28.396068476458197,0.10253685213986313,0.06660552052736866,0.043819553385177006,-34.23753546432435,41.28406556179471,-5.348432007159134,-80.92090097082846,37627.65546875,39044.61671875,38100.24521626011,38337.97041310603,-521.3343971397117,-396.46683055367674,35.61864706762574,-136.30263918350371,39532.78426415348,36899.43448584652,2633.3497783069615,476.5541615219185,30.426430826563987,59035000.0
2019-08-05,36699.83984375,36844.05078125,36416.7890625,36842.171875,25900.0,24.626144586363708,0.0,0.03417895071328749,0.04440368035157918,-37.01330748086822,41.86581532376527,-5.649780321859858,-90.13052426269387,37494.5265625,38989.919140625,37966.873276021055,38305.53218400987,-566.8258662609587,-430.53863769513316,37.726040280888455,-156.99417214849325,39564.8030810331,36665.34262209191,2899.46045894119,492.61669909178147,22.247115891300822,59009100.0
